Gender,Age,Level,Programme,CGPA,StrongestArea,WeakestArea,ProgrammingSkill,LanguagesKnown,ProjectsCompleted,Internship,TechnicalInterest,DataTools,Certifications,CareerPath
Male,16–20,100,Software Engineering,2.1–3.0,Networking,Networking,Intermediate,4+,Yes,Yes,Web Development,Moderate,3+,Software Developer
Male,26–30,100,Computer Science,3.1–4.0,Programming,AI & Data Science,Beginner,2–3,No,No,Data Science,High,None,Software Developer
Male,16–20,300,Software Engineering,4.1–5.0,Programming,AI & Data Science,Beginner,2–3,No,No,Web Development,Low,3+,Software Developer
Female,21–25,100,Information Technology,3.1–4.0,Cybersecurity,Networking,Intermediate,0–1,No,No,Data Science,Moderate,1–2,Data Analyst / Data Scientist
Female,21–25,200,Computer Science,3.1–4.0,Cybersecurity,Networking,Intermediate,4+,No,No,Networking,Low,1–2,Network Engineer
Female,16–20,300,Information Technology,3.1–4.0,Database,AI & Data Science,Advanced,2–3,Yes,Yes,Data Science,Low,None,Data Analyst / Data Scientist
Female,26–30,200,Software Engineering,3.1–4.0,Cybersecurity,Cybersecurity,Beginner,0–1,No,Yes,Cybersecurity,Moderate,3+,Cybersecurity Specialist
Female,21–25,300,Information Technology,4.1–5.0,AI & Data Science,Database,Intermediate,4+,No,No,Mobile Development,Moderate,1–2,IT Support / Systems Administrator
Male,21–25,100,Software Engineering,4.1–5.0,Networking,Networking,Beginner,4+,No,No,Mobile Development,High,3+,Software Developer
Female,16–20,200,Information Technology,2.1–3.0,Database,Networking,Intermediate,0–1,Yes,No,Networking,Low,None,Network Engineer
Female,26–30,200,Software Engineering,3.1–4.0,Programming,Programming,Advanced,2–3,No,No,Networking,Moderate,1–2,Network Engineer
Female,21–25,100,Computer Science,3.1–4.0,Cybersecurity,Programming,Advanced,4+,Yes,Yes,Mobile Development,Low,3+,Software Developer
Male,16–20,400,Software Engineering,4.1–5.0,AI & Data Science,Networking,Advanced,2–3,No,No,Data Science,Moderate,3+,Data Analyst / Data Scientist
Female,26–30,100,Software Engineering,4.1–5.0,Programming,Networking,Advanced,0–1,No,Yes,Cybersecurity,Low,None,Cybersecurity Specialist
Male,16–20,400,Information Technology,4.1–5.0,AI & Data Science,Cybersecurity,Intermediate,0–1,Yes,No,Mobile Development,High,1–2,Software Developer
Male,26–30,200,Information Technology,4.1–5.0,AI & Data Science,Networking,Intermediate,0–1,Yes,Yes,Cybersecurity,Moderate,None,Cybersecurity Specialist
Male,16–20,300,Software Engineering,4.1–5.0,AI & Data Science,Database,Intermediate,0–1,No,No,Web Development,High,1–2,Software Developer
Female,16–20,100,Information Technology,4.1–5.0,Database,AI & Data Science,Intermediate,0–1,Yes,Yes,Data Science,High,3+,Software Developer
Male,26–30,300,Software Engineering,2.1–3.0,Networking,Cybersecurity,Advanced,4+,No,No,Networking,Low,3+,Network Engineer
Female,16–20,400,Information Technology,3.1–4.0,Database,Database,Advanced,0–1,Yes,No,Cybersecurity,Moderate,3+,Cybersecurity Specialist
Female,26–30,400,Software Engineering,2.1–3.0,Cybersecurity,Programming,Intermediate,2–3,No,Yes,Cybersecurity,Moderate,3+,Cybersecurity Specialist
Female,21–25,100,Computer Science,4.1–5.0,Database,AI & Data Science,Intermediate,4+,No,Yes,Web Development,Low,1–2,Software Developer
Male,21–25,400,Software Engineering,3.1–4.0,Programming,Programming,Advanced,4+,Yes,Yes,Networking,Moderate,3+,Network Engineer
Female,16–20,200,Computer Science,3.1–4.0,Programming,Networking,Intermediate,4+,No,No,Web Development,Moderate,1–2,Software Developer
